Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-02-02,-0.183222,0.060798,0.069834,-0.10399,0.143866,-0.012788,0.389516,0.395541,0.077743,0.1627
2022-03-04,0.279198,-0.079994,-0.183518,0.054852,-0.020987,0.275425,0.660092,0.030433,-0.005051,-0.010451
2022-04-04,0.031835,-0.076376,0.130443,0.008607,0.353375,-0.02657,0.635749,0.13999,-0.084047,-0.113007
2022-05-06,0.053242,0.014786,-0.052898,0.21515,-0.04296,-0.135556,0.576476,0.318496,-0.068586,0.121849
2022-06-03,0.275681,-0.045642,0.363944,0.099818,0.027933,-0.099569,-0.130174,0.437158,0.095467,-0.024614
2022-07-01,0.022693,-0.02118,0.105161,-0.151605,0.166469,-0.056006,0.337951,0.503814,-0.071209,0.163911
2022-08-01,0.176822,-0.004721,-0.013431,-0.207741,0.176389,0.271996,0.224006,0.38459,-0.074107,0.066197
2022-08-30,0.283459,-0.04448,0.142263,-0.022159,-0.057989,0.161545,-0.143167,0.457389,-0.032205,0.255344
2022-09-29,-0.249868,0.113462,0.303121,0.275511,-0.009692,-0.04044,0.03493,0.322006,0.000107,0.250863
2022-10-28,0.247026,-0.036926,-0.095547,-0.074684,0.109745,0.200657,-0.092843,0.324059,0.30825,0.110264
2022-11-29,-0.054362,0.041256,0.131439,-0.048254,-0.197384,0.288941,0.237785,0.157784,0.051236,0.391559
2022-12-27,0.05646,0.051115,0.155531,-0.0803,0.083558,0.553017,-0.081979,0.27575,-0.137721,0.12457
